Kopfkino           Vividly imaginated scene
Schnapsidee        crazy idea
Flughafen          Airport
Berlin             Berlin
Bratwurst          pork sausage
Hauptstrasse       Main Road
Brot               Loaf
Gauss              unit of magnetic flux
Klimaanlage        air conditioning
Rammstein          Ramming stone
Musik              Music
BMW                BMW
Biergarten         Beer Garden (outdoor area where beer/food are served)
Ratskeller         pub or bar in basement of a building
Dirndel            feminine dress
Lederhose          Leather pants
Luftschloss        fantasy or unrealistic dream
wettbewerbsfaehig  competitive
Schneewittchen     snow white
